taxon	taxID
Dexaminoidea	2692369
Diadematidae	31173
Diaixidae	883841
Diaphanidae	71507
Diastylidae	27413
Diazonidae	641105
Dictyocystidae	513213
Dictyodendrillidae	283990
Dictyonellidae	85793
Dictyotaceae	2874
Didemnidae	107393
Didiniidae	197898
Dietziaceae	85029
Dinobryaceae	704141
Dinopontiidae	298480
Diogenidae	6749
Diphyidae	168754
Diploneidaceae	1003044
Diplopeltidae	862436
Diplopeltoididae	1881572
Discodorididae	6515
Discoidae	2057001
Discorbidae	69036
Discorbinellidae	1659693
Dogielinotidae	932764
Dolichomacrostomidae	683719
Doliolidae	76839
Donacidae	40128
Dorididae	146272
Dorippidae	255308
Dorippoidea	255306
Dorvilleidae	160440
Dorylaimidae	211262
Draconematidae	616676
Dreissenidae	45950
Drepanophoridae	1071744
Drilliidae	439585
Dromiidae	6784
Dromioidea	6783
Drymonematidae	944563
Dumontiaceae	31415
Dussumieriidae	365061
Dysideidae	190525
Echeneidae	173245
Echinasteridae	60576
Echinidae	7676
Echinoderidae	327033
Echinorhinidae	7832
Echiuridae	41799
Ectinosomatidae	298467
Ectocarpaceae	2878
Ectothiorhodospiraceae	72276
Edwardsiidae	45349
Eggerellidae	203423
Eirenidae	48402
Electridae	97257
Eleotridae	86197
Ellipsolagenidae	2792231
Ellisellidae	86559
Ellisinidae	2781942
Ellobiidae	69683
Ellobioidea	145629
Elphidiidae	29186
Elpidiidae	864676
Enchelidiidae	129850
Endeidae	61900
Engraulidae	43062
Enoplidae	57290
Enoploidea	319996
Enoplometopidae	288644
Enoploteuthidae	6623
Entalinidae	203156
Enterobacteriaceae	543
Enterococcaceae	81852
Enteropneusta incertae sedis	857047
Entomoneidaceae	186041
Epialtidae	516942
Epigonidae	223796
Epimeriidae	176909
Epiplocylididae	1236001
Epistomariidae	1696166
Epistominidae	1659753
Epitoniidae	69584
Epitonioidea	1502618
Epizoanthidae	333135
Epsilonematidae	459070
Eratoidae	221408
Erebonasteridae	2586198
Eriopisidae	2607388
Eriphiidae	108326
Eriphioidea	652082
Erythrobacteraceae	335929
Erythrotrichiaceae	240428
Escharinidae	560995
Esocidae	8008
Esperiopsidae	72179
Ethusidae	547252
Etmopteridae	117921
Eubacteriaceae	186806
Eucalanidae	121137
Euchaetidae	117959
Eucopiidae	314075
Eucytheridae	182512
Eudendriidae	168736
Euglenaceae	1131320
Eulepethidae	1210442
Eulimidae	69595
Eunicidae	104737
Eunotiaceae	196636
Euphausiidae	6817
Euphrosinidae	394753
Euplectellidae	472140
Euryleptidae	107734
Euryplacidae	576849
Eusiridae	181110
Eusiridira	2692347
Evermannellidae	172143
Exechonellidae	2865296
Exochellidae	1072069
Exocoetidae	76072
Fabriciidae	1002757
Facelinidae	929463
Farreidae	98041
Fasciolariidae	6486
Faucheaceae	81601
Fauveliopsidae	104716
Fenestrulinidae	2865580
Fibulariidae	337424
Fionidae	1287636
Fissurellidae	54986
Fissurelloidea	216278
Fistulariidae	206152
Flabellidae	91455
Flabelligeridae	279648
Flabellinidae	71483
Flabellinopsidae	2483390
Flammeovirgaceae	200667
Flavobacteriaceae	49546
Flustridae	478206
Flustroidea	1962291
Foettingeriidae	524892
Forskaliidae	42761
Foveolariidae	2780266
Fragilariaceae	33856
Fritillariidae	2507558
Frondiporidae	646319
Frontoniidae	340079
Fucaceae	3010
Funiculinidae	68566
Furcellariaceae	28018
Fusobacteriaceae	203492
Fustiariidae	203153
Gadidae	8045
Gadilidae	39429
Galatheidae	136690
Galatheoidea	115588
Galaxauraceae	73096
Galeommatidae	52932
Galeommatoidea	106228
Gammaridae	36939
Gammaroidea	44329
Gasterosteidae	69291
Gastrochaenidae	114949
Gastrochaenoidea	114941
Gastropteridae	259627
Gavelinellidae	1659683
Gaviidae	30412
Gelidiaceae	2808
Gelidiellaceae	2026930
Geobacteraceae	213422
Geodermatophilaceae	85030
Geodiidae	6045
Geryonidae	6775
Geryoniidae	37522
Gigantoporidae	2780296
Gigartinaceae	29217
Glabratellidae	69037
Glandulinidae	218545
Glaucostegidae	2800422
Glenodiniopsidaceae	1075831
Globigerinidae	45998
Globigerinitidae	2517323
Globorotaliidae	51037
Glossidae	62874
Glossoidea	106229
Glyceridae	39821
Glycymerididae	52935
Gnathiidae	116696
Gnathophausiidae	2283581
Gnathorhynchidae	1525122
Gnosonesimidae	1468262
Gobiesocidae	63826
Gobiidae	8220
Golfingiidae	6434
Goneplacidae	486104
Goneplacoidea	486103
Goniadidae	221999
Goniasteridae	106737
Goniodomataceae	1129376
Goniodorididae	71286
Gonostomatidae	2025516
Gonyaulacaceae	33834
Gordoniaceae	85026
Gorgoniidae	37506
Gorgonocephalidae	105882
Gracilariaceae	31469
Grantiidae	73655
Grapsidae	39556
Grapsoidea	29962
Gryphaeidae	112200
Guembelitriidae	478573
Guyniidae	130064
Gymnodiniaceae	66801
Gymnuridae	86359
Hadzioidea	936400
Haemulidae	30840
Hahellaceae	224379
Halacaridae	94797
Halcampoididae	132412
Halechiniscidae	286673
Haleciidae	308586
Haliangiaceae	224464
Halichondriidae	6060
Halicreatidae	168740
Halimedaceae	379500
Haliotidae	6451
Haliotoidea	216276
Haliplectidae	288541
Halisarcidae	253170
Haloclavidae	86592
Halocyprididae	178838
Halomonadaceae	28256
Halopterididae	308575
Halosauridae	143897
Halosphaeriaceae	42310
Halothiobacillaceae	255526
Halymeniaceae	31453
Hamacanthidae	283986
Haminoeidae	114747
Hamondiidae	610293
Hanleyidae	291850
Hantkeninidae	69031
Hapalidiaceae	227970
Harpacticidae	512265
Harpidae	553751
Harrimaniidae	10221
Hauerinidae	218541
Haustorioidea	2692365
Hebellidae	308664
Helicobacteraceae	72293
Helicosphaeraceae	418968
Heliopeltaceae	216787
Hemiasterellidae	283520
Hemiaulaceae	49250
Hemicytheridae	182592
Hemidiniaceae	261835
Hemidiscaceae	49229
Hemiramphidae	88694
Hesionidae	115834
Heterenchelyidae	556143
Heterocapsaceae	66802
Heterodiniaceae	1214249
Heteropiidae	196272
Heterorhabdidae	201610
Heteroxyidae	942713
Hexabranchidae	190922
Hexanchidae	7855
Hiatellidae	61359
Hiatelloidea	105708
Hildenbrandiaceae	31478
Hippolytidae	98089
Hipponicidae	211737
Hipponicoidea	211825
Hippopodiidae	168743
Hippopodinidae	991071
Hippothoidae	97246
Hippothooidea	193238
Histioteuthidae	34557
Hofsteniidae	442649
Holocentridae	47697
Holognathidae	155688
Holothuriidae	7683
Holozoidae	-33607
Homolidae	116712
Homolodromiidae	116710
Homoloidea	116711
Horaiclavidae	1340155
Hormathiidae	42824
Horneridae	646321
Hyalidae	199478
Hyalodiscaceae	265573
Hydractiniidae	6094
Hydrobatidae	85545
Hydrobiidae	55731
Hydrocharitaceae	26319
Hydrodictyaceae	3103
Hydrogenimonaceae	292630
Hyellaceae	1890500
Hymedesmiidae	252956
Hymenomonadaceae	418935
Hymerhabdiidae	1779169
Hyperiidae	294118
Hyphomicrobiaceae	45401
Hyphomonadaceae	69657
Ianthellidae	252952
Idiomarinaceae	267893
Idoteidae	82764
Idyanthidae	1817432
Inachidae	516941
Intrasporangiaceae	85021
Ionidae	1458139
